,0
14,"Papaz
@CahaOguz
·
11 Kas 2023
@SuperYardim
 iki haftadir süren internet arızası için hicbir aksiyon alinmiyor. Buraya ne zaman bir allahin kulu gelip bakacak ?
1
11"
15,"Hunuli Akademik(Ph.D)
@HuniliAkademik
·
19 Kas 2023
@SuperYardim
 9 kasimdan beridir internetimiz yok. Milyon kere şikayrt oluşturduk şaka gibi. Insanlar kurumsalliginiza guvenip sizi tetcih ediyordu. Fatura da odetirsiniz siz simdi olmayan internete. Superonline pişmanlıktır arkadaşlar.
58"
16,"Kağan Karaduman
@thekaghii
·
28 Eki 2023
@SuperYardim
   @Turkcell
 @TurkcellHizmet
 Turkcell uygulaması üzerinden 3 kez internet başvurusu yaptım, bir kez geri dönmediniz. Müşteri ihtiyacınız yok sanırım?
1
34"
17,"buse
@lilbitunholy
·
25 Ara 2023
@SuperYardim
 bana açıklar mısınız neden sürekli ve sürekli benim internetim gidiyo:DDDDD ve ben internetim gittiği için neden hiçbir şey yapamıyorum:DDDd yayın açmak istiyorum internetim REZALET olduğu için açamıyorum mesela NEDEN ben beleşe mi alıyorum bu internet hizmetini
3
71"
18,"FARUK AKMAN
@akman_faruk
·
29 Eyl 2023
@SuperYardim
 @TurkcellHizmet
 18 gün oldu hala bir kurulum gerçekleştiremediniz. Hangi işi başarabileceksiniz.
1
12"
19,"fatih çevik
@fatihcevik_
·
3 Kas 2023
@SuperYardim
 adlı kişiye yanıt olarak
3 gündür internet nakli yaptırabilmek için telefondan ukaşmaya çalışıyorum. Teknik sorunlardan dolayı bir işlem yapamayacağız sonra arayın tarzı bir mesajla kapanıyor telefon. Türkiyenin lider telekominikasyon  şirketi daha kendi söküğünü dikemiyor ne acı.
1
14"
20,"Çetin Karasu
@karasu_cetin
·
23 Eyl 2023
@SuperYardim
 #IşıkHızında 
@TurkcellHizmet
 bugün 21.44 te arayan müşteri temsilcisine yapılan işi denetleyen dedim. 300 tl para istedi. Sizce bu normal mi? 
2. Konu ise çok önemli değil 24 saatte sorunu çözeriz dediğiniz İnternetim 30 saat geçmesine rağmen hala gelmedi.
1
6"
21,"MaSigna
@masignaa
·
12 Ara 2023
@SuperYardim
 superonline artık sürekli internet kesintilerinin gerçekten can sıkıcı bir hale geldi çözüm bile sunmayan baglanamadigimiz müşteri hizmetleriniz hiçbir işe yaramıyor. #superonlinepismanliktir
1
176"
22,"İbrahim YAVUZ
@ibrahimyavuznet
·
8 Ara 2023
@SuperYardim
 internette 3 4 gündür yavaşlık var bir yardım edin
1
34"
23,"Erencan Demir
@erencandemir
·
1 Oca
@SuperYardim
 @TurkcellHizmet
  ev internetim yok müşteri hizmetlerine ulaşamıyorum. Direk hat kapanıyor. Acil destek rica ediyorum
1
16"
24,"arif savaş
@ArifSavas
·
5 Kas 2023
@SuperYardim
 berbatsınız!
1
8"
25,"gknl
@gknl35
·
25 Oca
@SuperYardim
 @TurkcellHizmet
  saat 10 giden internet hala yok. Sabah 6.30 da geleceği söylendi. 8.30 saat internet kesintisi mi olur? Hem böyle bir kesinti olacak abonelerinize mesaj çekip haber vermeniz gerekmez mi? #superonlinepismanlıktır
1
94"
26,"Doğannn
@dogan_uys
·
22 Kas 2023
@SuperYardim
 Merhaba, saat 10.30 dan beri internet yok, neler oluyor ? Saat 02.30 da gelebileceği söylendi
1
24"
27,"sercan kozan
@kozan_sercan
·
12 Ara 2023
@SuperYardim
 adlı kişiye yanıt olarak
Superonline pişmanlıktır uzak durun sadece bekletiyor yardımcı olmak içinde hiç bir işlem yapmıyorlar şikayet kaydimi kaptip yenisini açarak süreçleri uzatiyorlar
49"
28,"Mehmet Bilgin
@bilginsmehmet
·
30 Eyl 2023
@SuperYardim
 29 Eylül de müşteriniz oldum. Müşteri hizmetleri ile alınmış olan ilk kayıtta yeni nesil modem verileceği bilgisi verildi. Bana verilen hg628 model modem hurdalıktan çıkma cihaz eski. Defalarca şikayet ettim çözüm olarak sözleşmen var ne halin var ise gör denildi. +1
7"
29,"doğukan
@Dogukan_dilli
·
29 Kas 2023
@SuperYardim
 internetimi verin
1
14"
30,"Project_Endeavour
@neredennereyetr
·
7 Kas 2023
@SuperYardim
 fiber 200 mbit bir internette  her akşam reset atmadan oyuna giremiyorum. kablolu bağlanmama rağmen sorun yaşıyorum ?
1
8"
31,"Sedat inci
@sedatinciii
·
2 Eki 2023
@SuperYardim
 pişmanlıktır sakın kullanmayın 1 ay içinde 3 kere arıza kaydı bıraktım evde kullanmam gereken hız 50 mbps ama sürekli 15 ile 20 arasında dalgalanma var arıza kaydı bırakıyorum çözüldü diye cevap geliyor çözülen hiç birsey yok.
1
18"
32,"Bircan Karadeniz 1TÜRK
@BircanKaradeniz
·
28 Kas 2023
@SuperYardim
 taahhütüm bitiyor ve çok pahalısınız, neden her yıl firma değiştirmek zorunda bırakıyorsunuz, uygun bir fiyatla neden tarifeme devam ettirmiyorsunuz üzüyorsunuz ! #superonline 
@Turkcell
1
83"
33,"d’
@Mertdirenn
·
19 Ara 2023
@SuperYardim
 internet nerde alo
1
9"
34,"Meral Taşdelen
@MeralTadelen9
·
9 Kas 2023
@SuperYardim
 internet kurulumu için 4 kez gelip hizmeti bağlayamamaları size hiç yakışmadı.1 aydır sizden hizmet almaya çalışıyorum.Superonlini tebrik ediyorum internet hizmeti vermemeyi başardı.Bu şekilde çok müşteri kaybedersiniz.
1
19"
35,"Kémal Ayvaz
@KemalAyvazz
·
29 Ara 2023
@SuperYardim
 1 aydır internet yok evimde 30 kere çağrı merkezinizi aramamıza rağmen eve bir çalışan yollayıp kontrol ettirmiyorsunuz. Telefon faruram 2000 tl oldu. Bıktık artıkkkkk dış hatlarda sorun yok iç hatta sorun yok ama evde internet yok!!!!
1
21"
36,"M. Hanifi ÇELENK
@hanificelenk
·
3 Ara 2023
@SuperYardim
 internetim çalışmıyor. Müşteri hizmetlerine ulaşamıyorum. DM den de cevap alamıyorum. Üstüne üstlük birde fiber olacak
MÜŞTERİ NUMARAM 52048355
1
13"
37,"Sosyal Biri
@sosyaldilenci
·
13 Kas 2023
@SuperYardim
 merhabalar 2 gündür internet yok. Uygulamada bölgede çalışma var deniliyor. Her ay 3-4 gün kesinti yaşıyoruz. Boşuna fatura ödüyorum superonline a. Şimdi internetten 20 gb veri indirmem lazım, internet yok nasıl çözeceğiz bu durumu?
1
63"
38,"utkuk
@KaraarslanUtku
·
1 Oca
@SuperYardim
 Altyapı çalışması var diye gece 00:07 de SMS atıp, tatil günü internet mi kesilir. İnsanların evde olmadığı mrsai saatletinde kesinti yapmayı akıl edemiyor musunuz?
1
31"
39,"AyAzra
@AyAzra2
·
7 Oca
@SuperYardim
 @superonline
 @Turkcell
 çalışmayan sürekli kopan internetinize her ay 250 lira ödemekten çok sıkıldım çağrı merkezi yapacak bişi yok demesinden çok sıkıldım benim evde canım sıkılıyor internetimde sorun var diye size sariyorum muamelesi ayrıca cabası
1
64"
40,"nemenemshey
@nemenemshey
·
9 Kas 2023
@SuperYardim
 saat 12 ye kadar destek bekledim,  24 saat içinde diyorlar şimdi, İnternetim yok bütün gün bekledim, acil yardım rica ediyorum
1
18"
41,"Ersin Yalçın
@ErsinYaln828858
·
4 Kas 2023
@SuperYardim
 hepsi kurulumu dahil en fazla 5 inci gün kullanmamız gereken interneti şimdi müşteri temsilcileriniz bir 5 gün daha ekleyip 10 güne çıkardılar??? Bunu en başta telefonda bilgi verir iken neden söylemiyorlar 10 günü 6”5 diyerek vatandaşı kandıryırsunuz!!!
2
43"
42,"Melis HASIRCI
@mezzokate
·
30 Eki 2023
@SuperYardim
 @ist_superonline
 @TurkcellHizmet
 yaz başında 600küsür dairelik sitemizin altyapısı güncellenmesine rağmen hız artışı yapamıyoruz. Altyapı desteklenmiyor diyor sistem!! Acil çözüm bekliyoruz! Sözde yaz ortasında hız artışı yapılabilecekti. Bu ne vurdumduymazlık!
1
28"
43,"Esra kvs
@esrakvs85
·
5 Ara 2023
@SuperYardim
 @Fiberintenet
Huseyin Kavas
@hkavas84
·
5 Ara 2023
Artik benimle resmen dalga geciyorsunuz..her arayan kisi oyalacak bir kac cumle soyleyip kapatiyor.dun gece 02.52 de gelecegi soylenen internetim hala yok...bir ekip yonlendirmek neden bu kadar zor..bugun cozun artik bubl sorunu .cozunn...@TurkcellHizmet @SuperYardim @esrakvs85
4"
44,"Serdar
@ScorpionJackt
·
26 Eki 2023
@SuperYardim
 Depremden dolayı kalktık dökülmüş evimizden çıktık bir ay sonra dönüp evimizi taşıdık Gaziantep ten Ankara'ya yerleştik,eski abonelik babamın üstüne idi yenisini yine sizden kendi üzerime aldım,aylardır babamı arayıp neden modem istiyorsunuz hâlâ? Nereye getirelim?
1
23"
45,"OzTan
@OzTan1
·
6 Oca
@SuperYardim
 3ten beri internet kesik, dag basinda mi yasiyoruz, Istanhul'un gobeginde, neden hala sorun cozulemedi. 
Bir #cumartesi miz var, biraz film izlicez vs. 

#VerilenSözMülakatsızdı

#EmekliMaaşınaÇöktüler
1
96"
46,"𝕭𝖊𝔱𝔥
@lunaticula
·
5 Kas 2023
@SuperYardim
 çağrı merkezinden defalarca denedim ancak talebim gerçekleştirilmiyor. Artık lütfen gerçek bir insan beni arayabilir mi?
1
6"
47,"Umut Koçak 𐱅𐰇𐰼𐰰
@Umutkoc12563194
·
11 Eki 2023
@SuperYardim
 bu gün sizinle fiberinternet sözleşmesi yaptım. Ekibiniz aradı cumartesi gelecekler. Ama ben konuştuğum müşteri temsilcisine hat kötü yeni kablo çekecekler mi diye sordum. Evet dedi. Şimdi ekipleriniz bana biz kablo çekmiyoruz diyor.
1
15"
48,"OzgurChee
@OzgurChe34
·
4 Eki 2023
@SuperYardim
 Sokağımda yaklaşık 1 ay önce bir kazı çalışması oldu. Bir aydır internetim sürekli kopuyor. Kayıt açıyorum kimsenin umrunda değil. Teknisyen geliyor apartmanda modemde vs sorun deyip başından savıp gidiyor. İtiraz edip durumu anltıyorım haklısınız kabinde diyor
1
34"
49,"Özgür Tekinşen
@ozgurtekinsen
·
30 Kas 2023
@SuperYardim
 Bölgemizde kesinti olduğunu söylüyorsunuz ama son günlerde çok sık olmaya başladı. Artık işlerimiz internet üzerinden olduğundan 8-10 saat kesinti kabul edilemez.  
@Turkcell
1
42"
50,"Serdar ÇOBANOĞLU
@agitsc92
·
25 Kas 2023
@SuperYardim
 teşekkür ederim
2"
51,"Dr_asenahanımcım
@dr_balikciasena
·
3 Ara 2023
@SuperYardim
 Aylardır vermediği internetin faturasını kesen fatura itirazı için her aradığımıza genel arıza vardır deyip yüzümüze kapatan nitelikli dolandırıcılar . Yani Türkcell süperonline . Paranızı bu kuruma kaptırmayın iptal için arıyorum hiçbir şekilde ulaşılamıyor.
2
266"
52,"Mustafa Kemal
@Mustafa55228206
·
2 Ara 2023
@SuperYardim
 Ey Turkcell Superonline aylık statik ip bedeli geçen ay 56 TL iken buay 98 TL nedemek bu bir soygun değil mi ? Vatandştan 2 aydır gizliden gizliye bu rakamları yansıtmak ne oluyor açıklama yaparsanız sevinirim
65"
53,"gunes
@ggkandemir
·
25 Kas 2023
@SuperYardim
 adlı kişiye yanıt olarak
Akşam ondan beri arayıp duruyoruz. Soruna dair arayıp sormuyor. Bilgilendirmiyorsunuz  
Superonlin acil çözüm. Ve destek talep ediyoruz 
@SikayetvarCom
 @TurkcellHizmet
 @SuperYardim
 @superonline
1
58"
54,"Sefa ÇAKIR
@sefackr_
·
27 Oca
@SuperYardim
 30 saatten fazla evimde internet yok kayıt oluşturdum ama ilgileniyorlar mı ne yapıyorlar bilmiyorum sonuç hala internetimin olmaması
1
32"
55,"@kussursuz1i
·
4 Eki 2023
@SuperYardim
 senden nefret ediyorum
1
105"
56,"K
@KLahmacun23
·
2 Ara 2023
@SuperYardim
 Elektrikler kesildi bi 40-45 dakika geri gelince modemde internet ışığı yanmıyor

-Modemi Prizden çıkarıp tekrar çalıştırdım

-Arkasındaki düğmeden resetledim 

Yine fayda etmedi
1
27"
57,"dincer_oguz
@Dincer06Oguz
·
22 Eyl 2023
@SuperYardim
 3 4 gun oldu internetim 1 dakika gelip yarim saat gidiyor. 2 dakika gelip 1 saat gidiyor. Dun musteri temsilcisine baglanmayi uzun ugraslar sonucu basarabildim. Aksam daat 22.00 ye kadar musait olur musunuz dediler olurum dedim teknik ekibin kontrolu amaciyla.
2
82"
58,"yörük_Onur
@gokkurt_1923
·
17 Eki 2023
@SuperYardim
 internetim yine yavaşladı kablosuzda telefondan bağlanmıyor. Hayırdır ben faturaları gününde ödüyorum. Sizde
Gereken hizmeti verin
1
9"
59,"iyilik iyidir.
@tuncaysayilkan1
·
14 Ara 2023
@SuperYardim
 51737473 müşteri numaralı internet aboneliğimle ilgili müşteri hizmetleri numaranızı aradım ama telefon kapalı yada sisteminiz arzalı sorunum internet yavaş modem aç kapa yaptım konu ile ilgili geri dönüşünüzü bekliyorum
1
44"
60,"esbulbul
@esbulbul
·
30 Eyl 2023
@SuperYardim
 + line şirketi yeni cihaz talebini arıza kaydına çevirmeye çalışıyor, böylece gelmeden bakmadan gittik sorun yok diye kapatacaklar. Hayretler içerisinde izliyorum basit bir sorunu çözemiyorsunuz.
2"
61,"Ahmet Beyazıt
@byzt3534
·
15 Ara 2023
@SuperYardim
 adlı kişiye yanıt olarak
Sizin kadar dolandırıcı yalancı bir operatör görmedim, her faturam yüksek geliyor, acil dönüş yapın.
@SuperYardim
8"
62,"Tuğçe Ada
@adatgce
·
13 Eki 2023
@SuperYardim
 Ekim ayında taahüdümün bittiğini bilerek Eylül ayında paketimi yeniledim. Paketimi Eylül ayından başlatıp faturama da o şekilde yansıtmışsınız. Bunu çağrı merkezinize ilettiğimde ses kayıtlarında onay verdiğimi söylüyorlar. Neden Eylül ortasında başlatayım? Devamı;
4
167"
63,"Alper Kaplan
@alperkaplan
·
12 Ara 2023
@SuperYardim
 Superonline fiber’de genel bir sorun mu var?
Ne internete bağlanabiliyorum ne de size ulaşabiliyorum!
3
4
636"
64,"Macır Mühendis
@deutschsonne
·
27 Eki 2023
@SuperYardim
 @Turkcell
 @TurkcellHizmet
 1 aydır internet hizmeti yok!!! Çünkü internet yok!!!
1
35"
65,"Mehmet Kılıçarslan
@mkilicarslan1
·
18 Kas 2023
@SuperYardim
 11727979 müşteri numarasıyla fiber başvurusu yaptım.İlgili arkadaşlar çok hızlı bir şekilde geldi sağolsunlar.Bina girişinde bulunan kutunun yeri değişmesi gerektiğini söylediler ve bağlantıyı yapamadılar.
2
32"
66,"Merukosan
@Merukosan1
·
12 Eki 2023
@SuperYardim
 ya bi modem getireceksiniz alt tarafı. 13:30 diyorsunuz saat 15:30 oldu hala ne gelen var ne arayan! Kimseye ulaşamıyoruz da müşteri hizmetleri çalışanınız tepkinizi bize göstermeyin diyor kime gösterelim sevgili superonline kim ilgileniyo bu konuyla
1
34"
67,"Tuana
@Tuana7520760987
·
23 Eyl 2023
@SuperYardim
 sabahtan itibaren kullandigimiz superonline internet cok kötü cekmiyor bu durumda ne yapmamız gerekiyor.iyi olsun diye fibere gectik ama normal internetten tek farki yüksek gelen fatura oldu. online calisiyorum ve suan zor durumda kaldım
1
35"
68,"Selami EKMEKCİ
@ihso2005
·
8 Ara 2023
@SuperYardim
 @btk
 Müşteri memnuniyeti adına kotalı paket fiyatlarının diğer operatörlerin sınırsız limitsiz fiyatları ile ilgili olarak ne gibi çalışmalar yapıyorsunuz?
9"
69,"Burak V
@BurakV13
·
13 Eki 2023
@SuperYardim
 adlı kişiye yanıt olarak
3 gundur modemim arızalı 100 kere aradım hala gelmediniz faturaayı 3 gun gecirsek hemen kesersiniz ama
2
31"
70,"Burak Yılmaz
@_gamersapiens
·
24 Eyl 2023
@SuperYardim
 günlerdir internetimde yüzlerce defa kopma yaşıyorum bi çözüm bulamadınız lanet olsun artık bıktım ya
1
19"
71,"Ertürk Kocabıyık
@Ertrkcbyk
·
7 Oca
@SuperYardim
 İnternet Hızımı 24 yaptıktan Sonra benden paraları kopardıktan sonra ne hikmetse internetimi hızlandırmak için sizi her gün aramaktan bıktım. Güncelledik diyorsunuz yarım saat sonra internet hızım tekrar düşüyor. Ne saçma bir şirketsiniz siz ya !
1
17"
72,"Sermet71
@AginSermet
·
24 Oca
@SuperYardim
 insan her Allah'ın günü mobilden hızlandırma yapmaya çalışır mı. Ne kadar rezil bir hizmet bu nokta
13"
73,"OLCAY
@clkolcay
·
23 Ara 2023
@SuperYardim
 @TurkcellHizmet
 @Fiberintenet
 @Turkcell
  Veremediğiniz internet imkanını lütfen pazarlamayın 3 günden  beri ben internetim gelecek diye beklemek zorunda değilim !!!
1
47"
74,"yellow&red
@Mdysonmus
·
9 Oca
@SuperYardim
 siz siz olun sakın 50-100 TL daha ucuz diye 
@TurkTelekom
 dan ayrılıp başka dagiticiya geçmeyin. Resmen rezil olduk. Telefonu WiFi yapıp tvyi bağlıyoruz. Telefonu evde bırakıp dışarı öyle çıkıyoruz ki tv bağlantısı kopmasın.2024 yılında 100 yıl geriye döndük
1
27"
75,"Erdem Altıntaş
@ErdemAl85498950
·
7 Ara 2023
@SuperYardim
 @ist_superonline
 @Turkcell
 
Faturayı geç ödeme yapınca hem gecikme faizi hemde hızı düşürüyorsunuz 
Ödeme yapınca internet hızımızı arttırmak için hızlandırma ücreti altında haraç kesip itiraz kaydı kabul etmiyor 
@tc_cimer
 @AliYerlikaya
 @TC_icisleri
 @AliTahaKoc
52"
76,"Meryem Dila
@Meryemdilaa
·
26 Eyl 2023
@SuperYardim
 @Turkcell
 @TurkcellHizmet
 @TcellPlatinum
 HAYATIMDA BOYLE KEPAZELIK GORMEDIM!! 10 yildan fazladir hem gsm hattim turkcell platinium hem de evimde fiber internet ve tv plus hizmetlerini kullaniyorum. Ay basinda arandim, taahhutum bitmek uzereymis (1)
81"
77,"msclk
@mstfopt
·
15 Eki 2023
@SuperYardim
 adlı kişiye yanıt olarak
Superonline almayın , ben aldım pişman oldum. İnterneti bağlamayın sonra sorun yaşanınca servis ücreti yansıtan bir firmadır. Asla tavsiye etmem. Pişmanlık yasamayin
1
1
83"
78,"Erdal AKGÜL
@edoo_41
·
4 Oca
@SuperYardim
 Kopan kablo konnektörümü gelip değiştiriyorsunuz. Müşteri hizmetlerini arıyorum, fiyatlandırma hakkında bilgi vermiyorlar. Gelen servis sorunu çözüp gidiyor, ücretli olduğunu soylemiyor Sonra faturama 300 TL yansıtıyorsunuz.
22"
79,"Ahmet Conker
@aconker34
·
15 Ara 2023
@SuperYardim
 @TurkcellHizmet
 Superonline internet müracaatımın 9. günü yine bağlanmadı, hep pozitif mesajlar Aktivisyon hatası dediler sonuç sıfır icraat yok bu mesajları okuyan gerçek bir yönetici yok mu reklamlar ışık hızı, gerçekler kaplumbağa hızı mağdur olduk yazıklar olsun
1
36"
80,"esra’cım
@whorichlove
·
18 Oca
@SuperYardim
 #Superonile yenilediğime bin pişmanım 
Kimseye de tavsiye etmiyorum artık. 
Lodos ta yağmurda sebep önemli değil kullanamadığım ve heybete ödediğim internet. Üstelik bide akşamdan akşamaaa bikaç saat kullandığım.
Salın Süperonline almayın abicim.
84"
81,"Arturo Bandini
@banacayver
·
7 Kas 2023
@SuperYardim
 superbox ürünümü iptal etmek istiyorum. Yardımcı olur musunuz
1
36"
82,"Emir
@emircanygt
·
1 Oca
@SuperYardim
 @Turkcell
 ne zaman bir tatil bayram vs herkesin evde olduğu bir durum olsa sizin internet kesiliyor. Vallahi bıktım şu olaydan.
1
49"
83,"niko34
@okinom
·
14 Eki 2023
@SuperYardim
  2 saattir modemin internet isigi yanmiyor ve internet yok..superonline da ulasmak mucize..???
1
66"
84,"MaSigna
@masignaa
·
12 Ara 2023
@SuperYardim
 her gece internet kesintisi. Yine internet gitti. Müşteri ilişkilerini 4 defa aradım. Her seferinde müşteri temsilcilerimiz diğer müşterilerle ilgileniyor size birazdan yardımcı olacağız diyen bant kaydınızı dakikalarca dinlendikten sonra görüşmeyi sonlandiriyorlar
1
75"
85,"yaşar örengil
@YasarOrengil
·
19 Eyl 2023
@SuperYardim
 
Bulunduğum bölgede çok sık internet kesintisi oluyor..Artık bu sorunu tamamıyla çözmeniz gerekiyor..kabak tadı verdi...
1
45"
86,"Emmett Brown
@uluay
·
11 Oca
@SuperYardim
 @Fiberintenet
 @TurkcellHizmet
 2 aydır internet bekliyorum. Fotoğrafta görünen kutudan apartman içine 5 metre kablo çekilecek ve ben sizden internet hizmeti alabileceğim. Yeni yıl fiyatından satacaksınız hadi çözün şu işi.
13"
87,"Burak Geçer
@brkemre
·
4 Ara 2023
@SuperYardim
 @Turkcell
 @TurkcellHizmet
 50 Mbps'lik paket kullanıyorum. Altyapının kaldırmasına rağmen aldığım en hızlı internet bu şekilde. Çoğu zaman bilgisayarda sayfanın açılmasını bekliyorum sonra dayanamayıp telefonumun internetine bağlanıyorum. Hiçbir çözüm yok. Pişmanlık
1
52"
88,"Barkın
@BarkinCemiloglu
·
21 Kas 2023
@SuperYardim
 anlaşma yaparken 100mbps internet diyorsunuz ama gerçekte 42 mpbs olması normal öyle mi ?
1
14"
89,"Bilge Y
@bilgeyl
·
28 Ara 2023
@SuperYardim
 @Turkcell
 

3 saat 20 dakikada neyi gelip neyi çözecek hiç bilmiyoruz yani yarına kadar yine internetsiziz
Superonline kadar kötü çalışan çözümcü olmayan başka bir kurum var mıdır vardır elbette bugün bu denk geldi
39"
90,"Alpaslan
@Bortecinealpp
·
29 Ara 2023
@SuperYardim
 Fiber bağlantı kullanıyorum . Lakin bu kadar zayıf bu kadar kötü bir bağlantı görmedim. Işık hızında internet derken artık dalga geçtiğimizi düşünüyorum. Çözüm arayışına da cevap verilmiyor.ayiptir. 
@Turkcell
1
33"
91,"Mart Kedisi
@MartKedisi
·
26 Oca
@SuperYardim
 yahu madem keseceksiniz bari kesinti haberi verin, bir saat oldu bağlantı yok, telefona bakan da yok. Anlaşmamız da bittiğine göre başka firmaya geçelim isterseniz? Anlaşmanız bitti yenileyelim diye 5 vakit ararsınız ama!
12"
92,"Elif
@ElifGenceliii
·
25 Eki 2023
@SuperYardim
  Ya sabahtan beri ne teknik arızaymış internet bir gitti daha gelemedi koskoca gün kullanmadığım internetin parasını alırsınız ama kahrolun ya
1
103"
93,"Baki Aslan
@bbakiaslan
·
23 Oca
@SuperYardim
 4 gündür evime internet bağlatmak için uğraşıyorum 10 defa merkezi aradım 4 defa kuruluma gelicek ekibi aradım kimse geri dönmedi
1
61"
94,"A_Alv
@AAlv50353298
·
4 Ara 2023
@SuperYardim
 2023 yılında insanlık marsta şu buldu deniliyor ama bizim İnternet ve TV sorunumuz 24 saati geçti daha de bu gece saat 23.05 e kadar devam edecek deniyor. Çok dakiksiniz üstelik hiç tam saat yok 07.31 de giderilecek 23.05 te giderilecek dalga geçin insanlarla böyle
1
12"
95,"Emre Aslan
@emre3aslan8
·
2 Eki 2023
@SuperYardim
 10 saattir internet erişim problemi çekiyoruz. Çözüm için yardımcı olun lütfen (Kadıköy-İstanbul) 
@TurkcellHizmet
30"
96,"IG
@guvendikler
·
6 Oca
@SuperYardim
 bursa nilüfer ertuğrulda bir günlük internet kesintisi nedir arkadaş?
1
118"
97,"josemos
@felixx79970338
·
17 Eki 2023
@SuperYardim
 dünden beri discorda bağlanamıyorum.
6"
