,text
12,"@SuperYardim
 4 gündür internetim kesilmiş durumda. Eve gelen teknik servis yeni internet bağlantısı yaparken sizin interneti bozmuş olabilirler dedi ve gitti. Hala bekliyoruz. 
@TurkTelekom
 altyapısıyla alakalıymış da onlar gelip ilgilenecekmiş. Yok yere elektrikciye ücret ödedim"
13,"@SuperYardim
 Cayma bedelini karşılayacağını belirtmenize rağmen 2 aydır fatura yansıtıyorsunuz ve interneti kesiyorsunuz. Cayma bedeli tamamlanana kadar sözde fatura yansımayacaktı?"
14,"@SuperYardim
 internetinizin  Allah belasını versin"
15,"@SuperYardim
 13 gündür bir arıza giderilmez mi?
Defalarca arıza kaydı oluşturuldu ama sonuç 13 gündür İnternet hala yok
Amacınız ne?
Çalışanlarınızı iyi araştırın, diğer operatörlerle işbirliği içinde olmasınlar"
16,"@SuperYardim
 @SuperonlineNet
 @Turkcell
 @TurkTelekom
 Superonline İnternet problemi yaşıyoruz 
Servis yönlendiriyoruz dediler. Ne gelen var ne de arayan
COK ACIL destek talep ediyoruz"
17,"@SuperYardim
 Kartal uğurmumcuda öğlen 1 den belli internet yok ger aradığımızda 3 saate çözüme kavuşulacak denildi ve hediye gb yolayalım diyip insanları kandırıyorlar bende sözleşmemi iptal ediyorum#süperonline kulanmıyorum tavsiye de etmiyorum"
18,"@SuperYardim
  hizmet alabilmek için illa arayıp küfür mü etmemiz gerekiyor? neden 3000 pingle oyun oynuyorum? zorunda mıyım?"
19,"@SuperYardim
 sinirden modemi koparcam internetim neden 30 dakikadır hiç bir şeye bağlanamıyor?  hem bilgisayar hem telefon üzerinden deniyorum, internet ışığı yanıp sönüyor normal görünüyor."
20,"@SuperYardim
 @TurkcellHizmet
 @Turkcell
 @TcellPlatinum
 sorun çözümünüz çok geç Turkcell türkcell müşteri"
21,Hızlı diye Superonline ye geçtim. Daha 1 ay olmadan internet arızaları başladı. İnternete giremiyorum şuan. Şaka gibi..
22,"@SuperYardim
 Superonline pişmanlıktır..."
23,"@SuperYardim
 müşteri hizmetlerindeki Gülşah hanım hiç yardımcı olmadı ve sorunum çözülmedi. İnterneti daha iyi kullanabilmek için tarife değişikliği yaptım ancak modem arızalı ve müşteri hizmetleri sadece sinyal gönderiyor. Kesintisiz internet kullanmak istiyorum ."
24,"@SuperYardim
 @TurkcellHizmet
 @Turkcell
  e 25 mbps diye anlaştık sözde sanırım ben İzmir'de değilde kuzey Irak'ta yaşıyorum  su modemi değiştirin artık !"
25,"@SuperYardim
 HUAWEI H267A modemin adaptörünün çalışmadığını farkettim. 12V & 1,5A başka bir adaptörle denedim modem çalışıyor. Ürün daha 1 senelik, garanti kapsamında değişimi için ne yapmak gerekiyor?"
26,"@SuperYardim
 10 yıllık müşteriye 550 TL olan paket yeni müşteriye 450 TL NE KADAR MÜŞTERİ ODAKLI BİR FİRMASINIZ. 
@TurkNet
 ve 
@TurksatKablonet
 ile görüşelim bakalım..."
27,"@SuperYardim
 Yahu koskoca Superonline'da 1 tane iş bilen kişi yok mu? 
115258455 ve 115771597 numaralı şikayet kaydını inceleyin lütfen. Ayrıca Çağrı Merkezinizi 2 defa aradım görevliniz sanki hayatında ilk defa modem duymuş gibi davranıyor."
28,"@SuperYardim
 apple music kütüphanesi sizin internetteyken yenilenmiyor. 3-4 aydır güvenli internete geçmişsiniz sanıyorum. SSL hatalarıda sürekli oluyor. Dns değiştirerek hadi bu sorunu çözdük. Ancak apple music hatası halen devam ediyor."
29,"@SuperYardim
 müşteri temsilciniz, wireless download hızında bir sıkıntı olmadığını belirtiyor sisteminden gördüğü kadarıyla. Bu sorunsuz mu sizce?"
30,"@SuperYardim
 hafta da iki gün en az 3 er saat internetim kesiyorsunuz. Bu daha ne kadar devam edecek?"
31,"@SuperYardim
 @Fiberintenet
 kampanyalar için zırt pırt ararsınız ama konu sorun çözümüne gelince kendinizden bir habersiniz...."
32,"@SuperYardim
 Superonline fiber internetimiz 4 koca gündür kesik 1. Kattaki kabloların yanması sonucu. Gelen yok giden yok ilgilenen yok, arayan yok, soran yok. Abonelik ya da taahhüt için devamlı arayan kapıya gelen internet servis sağlayıcısı kayıp. Remote çalışıyoruz evden."
33,"@SuperYardim
 yaklaşık 5 gündür internetimiz yok 0 çözüm!! Gelen mesajınız ise evdeki kablolarla ilgili sorun olabilir elektrikçi çağırın. Elektrikçi geliyor evde sorun yok sizde çözüm yok evde internet yok!! Ağır pişmanlıksınız Turkcell superonline!!!"
34,"@SuperYardim
 Tam 48 dakikadır çözümsüzlük merkeziniz bana çözüm bulamayıp üstüne ""benim adım hıdır elimden gelen budur"" mesajı vererek görüşmeyi sonlandırdı. Bu nasıl bir hizmet anlayışı ben anlamıyorum. Kimsenin hiçbirşeyden anlamadığı bir müşteri hizmetleriniz var."
35,"@SuperYardim
 size de yazıklar olsun evde internet yok 1 haftadır ve düzeltemediniz aptallar.."
36,İnternet bağlantı problemi yaşıyorum İzmir’de 3 aydır faturasını ödediğim superonline bağlanamıyorum süperonline pişmanlıktır
37,"@SuperYardim
 Arayıp 16 mbps vericez diyip 24 aylık sözleşme imzalatıyorsunuz ama 8 mbps internet veriyorsunuz.Arayıp söylediğimde yapacak bir şeyim yok sizi sözleşmeden de çıkaramıyoruz yükseltemiyoruz da hızınızı diyorsunuz. Bir de kendinize kurumsal diyorsunuz olacak iş değil."
38,"@SuperYardim
 @TcellPlatinum
 Ayın 19’un dan beri sorunu çözeceğiz diyip duruyorsunuz Allah’ın belaları. Bir sorunu çözemediniz. Ekip çalışıyor, ekip çalışıyor. Batarsınız ekibinizle inşallah."
39,"@SuperYardim
 Fiber bağlantı kullanıyorum . Lakin bu kadar zayıf bu kadar kötü bir bağlantı görmedim. Işık hızında internet derken artık dalga geçtiğimizi düşünüyorum. Çözüm arayışına da cevap verilmiyor.ayiptir. 
@Turkcell"
40,"@SuperYardim
 @Fiberintenet
 güya son sürat internet diye reklam yaparsınız...Bağlantı sorunlarıyla karşılaştıkça her aramamda farklı cevaplarla karşılaşıyorum. Şimdi de Nazlı isminde çalışanınız da telefonu kapatsam da kurtulsam derdinde ..."
41,"@SuperYardim
 yine internet yok kafayı yersin ALMAYIN"
42,"@SuperYardim
 Merhaba 
İnternet hızımı yükselttiğim halde hâlâ randıman alamıyorum,gün içerisinde sürekli değişiklik gösteriyor.Ayrıca wi-fi bağlantımda düşüp yükseliyor 
bağlantı portumun ve Modemim ve ev içerisindeki yerinin değiştirilmesini talep ediyorum."
43,"@SuperYardim
  müşteri hizmetleri ile Çarşamba günü yapmış olduğumuz görüşme sonrası cumartesi yani bugün modem takılması için randevu oluşturdum lakin bu saate kadar ne gelen nede arıyan oldu ve ben bu iş için işimden izin aldım bugün bu bağlantıyı yaparmisiniz lütfen."
44,"@SuperYardim
 beni yeni yıl gecesi internetsiz koyan, bir haftadır gelecekleri konusunda oyalayan küçük eskişehirde bile iş takibi iş yönetimini yapamayan internet süper değildir"
